user,knob,windows,span_days,changes,changes_per_6mo,median_abs_delta,path,net,path_over_net,material,after_deadband,after_deadband_per_6mo,window,step,lag_days
F,confirmedCap,21,161,12,13.60248447204969,0.29499999999999993,5.849999999999999,1.4500000000000002,4.034482758620689,6,5,5.667701863354037,21,7,14.0
F,committedCap,21,161,17,19.27018633540373,0.030000000000000027,0.5800000000000001,0.020000000000000018,28.99999999999998,3,2,2.2670807453416146,21,7,14.0
F,cumulative60,21,161,16,18.136645962732917,0.24999999999999956,6.899999999999999,1.5,4.599999999999999,6,3,3.4006211180124226,21,7,14.0
F,primerCap,21,161,15,17.003105590062113,0.019999999999999962,0.25000000000000006,0.009999999999999953,25.00000000000012,2,0,0.0,21,7,14.0
H,aggression,9,77,0,0.0,0.0,0.0,0.0,,0,0,0.0,21,7,14.0
H,hypoCaution,9,77,0,0.0,0.0,0.0,0.0,,0,0,0.0,21,7,14.0
H,confirmedCap,9,77,4,9.480519480519481,0.5150000000000001,2.0600000000000005,0.0,,2,2,4.740259740259741,21,7,14.0
H,committedCap,9,77,7,16.59090909090909,0.020000000000000018,0.4600000000000001,0.42000000000000004,1.0952380952380953,1,2,4.740259740259741,21,7,14.0
H,cumulative60,9,77,4,9.480519480519481,0.8500000000000001,2.8,0.7999999999999998,3.5000000000000004,2,3,7.1103896103896105,21,7,14.0
H,primerCap,9,77,6,14.220779220779221,0.08999999999999997,0.4399999999999999,0.25999999999999995,1.6923076923076923,4,4,9.480519480519481,21,7,14.0
tim,aggression,22,175,5,5.214285714285714,0.07000000000000006,0.43000000000000027,0.15000000000000002,2.866666666666668,4,5,5.214285714285714,28,7,17.5
tim,hypoCaution,22,175,14,14.6,0.30000000000000004,4.1,0.7,5.857142857142857,3,10,10.428571428571429,28,7,17.5
tim,confirmedCap,22,175,7,7.3,0.26,1.85,0.1299999999999999,14.230769230769242,4,2,2.085714285714286,28,7,17.5
tim,committedCap,22,175,17,17.728571428571428,0.030000000000000027,1.0,0.25999999999999995,3.8461538461538467,8,3,3.1285714285714286,28,7,17.5
tim,cumulative60,22,175,16,16.685714285714287,0.10000000000000009,3.599999999999999,0.3999999999999999,9.0,6,1,1.042857142857143,28,7,17.5
tim,primerCap,22,175,14,14.6,0.020000000000000004,0.5300000000000001,0.15,3.5333333333333345,6,4,4.171428571428572,28,7,17.5
A,aggression,21,168,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,7,17.5
A,hypoCaution,21,168,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,7,17.5
A,confirmedCap,21,168,3,3.258928571428571,1.2000000000000002,3.4000000000000004,0.0,,0,3,3.258928571428571,28,7,17.5
A,committedCap,21,168,15,16.294642857142858,0.020000000000000018,0.34999999999999987,0.050000000000000044,6.999999999999991,2,1,1.0863095238095237,28,7,17.5
A,cumulative60,21,168,6,6.517857142857142,0.35000000000000053,3.700000000000001,0.09999999999999964,37.00000000000014,0,2,2.1726190476190474,28,7,17.5
A,primerCap,21,168,13,14.12202380952381,0.010000000000000009,0.4,0.020000000000000018,19.999999999999982,2,2,2.1726190476190474,28,7,17.5
B,aggression,18,147,7,8.69047619047619,0.07999999999999996,0.5599999999999997,0.07999999999999996,7.0,7,7,8.69047619047619,28,7,17.5
B,hypoCaution,18,147,10,12.41496598639456,0.19999999999999996,2.3000000000000003,0.5,4.6000000000000005,3,7,8.69047619047619,28,7,17.5
B,confirmedCap,18,147,14,17.38095238095238,0.31000000000000005,7.29,0.3500000000000001,20.828571428571422,3,3,3.724489795918367,28,7,17.5
B,committedCap,18,147,12,14.897959183673468,0.039999999999999925,0.5700000000000001,0.1100000000000001,5.181818181818178,4,3,3.724489795918367,28,7,17.5
B,cumulative60,18,147,15,18.622448979591837,0.3000000000000007,7.700000000000001,0.09999999999999964,77.00000000000028,4,2,2.4829931972789114,28,7,17.5
B,primerCap,18,147,10,12.41496598639456,0.020000000000000018,0.18999999999999995,0.010000000000000009,18.99999999999998,2,0,0.0,28,7,17.5
C,aggression,12,105,4,6.952380952380953,0.07500000000000001,0.30000000000000004,0.0,,3,4,6.952380952380953,28,7,17.5
C,hypoCaution,12,105,7,12.166666666666666,0.19999999999999996,1.6,0.3999999999999999,4.000000000000001,1,4,6.952380952380953,28,7,17.5
C,confirmedCap,12,105,10,17.38095238095238,0.45999999999999996,5.300000000000001,3.28,1.6158536585365857,0,5,8.69047619047619,28,7,17.5
C,committedCap,12,105,10,17.38095238095238,0.044999999999999984,0.38,0.09999999999999998,3.8000000000000007,3,1,1.7380952380952384,28,7,17.5
C,cumulative60,12,105,10,17.38095238095238,0.5,5.499999999999998,3.5,1.571428571428571,0,5,8.69047619047619,28,7,17.5
C,primerCap,12,105,7,12.166666666666666,0.019999999999999962,0.31999999999999995,0.01999999999999999,16.000000000000007,3,2,3.4761904761904767,28,7,17.5
D,aggression,9,147,1,1.2414965986394557,0.07000000000000006,0.07000000000000006,0.07000000000000006,1.0,1,1,1.2414965986394557,28,7,17.5
D,hypoCaution,9,147,2,2.4829931972789114,0.25,0.5,0.5,1.0,0,1,1.2414965986394557,28,7,17.5
D,confirmedCap,9,147,2,2.4829931972789114,0.36,0.72,0.28,2.571428571428571,0,1,1.2414965986394557,28,7,17.5
D,committedCap,9,147,6,7.448979591836734,0.03500000000000003,0.5699999999999998,0.25,2.2799999999999994,2,2,2.4829931972789114,28,7,17.5
D,cumulative60,9,147,7,8.69047619047619,0.09999999999999964,0.9999999999999987,0.19999999999999973,5.0,0,0,0.0,28,7,17.5
D,primerCap,9,147,5,6.20748299319728,0.02999999999999997,0.33999999999999997,0.26,1.3076923076923075,3,2,2.4829931972789114,28,7,17.5
E,aggression,21,168,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,7,17.5
E,hypoCaution,21,168,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,7,17.5
E,confirmedCap,21,168,19,20.639880952380953,0.1200000000000001,2.2300000000000004,0.4499999999999993,4.955555555555565,1,0,0.0,28,7,17.5
E,committedCap,21,168,16,17.38095238095238,0.015000000000000013,0.30000000000000004,0.28,1.0714285714285714,1,0,0.0,28,7,17.5
E,cumulative60,21,168,16,17.38095238095238,0.10000000000000053,2.4000000000000004,1.0,2.4000000000000004,0,0,0.0,28,7,17.5
E,primerCap,21,168,11,11.949404761904763,0.010000000000000009,0.14,0.14,1.0,1,0,0.0,28,7,17.5
F,aggression,21,168,2,2.1726190476190474,0.07999999999999996,0.15999999999999992,0.0,,2,2,2.1726190476190474,28,7,17.5
F,hypoCaution,21,168,2,2.1726190476190474,0.10000000000000009,0.20000000000000018,0.0,,0,0,0.0,28,7,17.5
F,confirmedCap,21,168,9,9.776785714285714,0.5,5.6,1.5,3.733333333333333,3,5,5.431547619047619,28,7,17.5
F,committedCap,21,168,17,18.467261904761905,0.030000000000000027,0.51,0.050000000000000044,10.19999999999999,4,0,0.0,28,7,17.5
F,cumulative60,21,168,15,16.294642857142858,0.10000000000000053,6.399999999999999,1.5999999999999996,4.0,6,5,5.431547619047619,28,7,17.5
F,primerCap,21,168,16,17.38095238095238,0.014999999999999986,0.24000000000000005,0.019999999999999962,12.000000000000025,6,0,0.0,28,7,17.5
H,aggression,9,84,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,7,17.5
H,hypoCaution,9,84,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,7,17.5
H,confirmedCap,9,84,2,4.345238095238095,0.5,1.0,1.0,1.0,1,1,2.1726190476190474,28,7,17.5
H,committedCap,9,84,8,17.38095238095238,0.06000000000000005,0.5200000000000001,0.4800000000000001,1.0833333333333335,3,4,8.69047619047619,28,7,17.5
H,cumulative60,9,84,5,10.863095238095237,0.20000000000000018,1.9999999999999991,1.9999999999999991,1.0,1,1,2.1726190476190474,28,7,17.5
H,primerCap,9,84,4,8.69047619047619,0.034999999999999976,0.25,0.25,1.0,1,2,4.345238095238095,28,7,17.5
tim,aggression,11,168,5,5.431547619047619,0.07000000000000006,0.43000000000000027,0.15000000000000002,2.866666666666668,3,5,5.431547619047619,28,14,21.0
tim,hypoCaution,11,168,7,7.604166666666666,0.6000000000000001,4.1,0.7,5.857142857142857,6,7,7.604166666666666,28,14,21.0
tim,confirmedCap,11,168,2,2.1726190476190474,0.5,1.0,0.0,,1,2,2.1726190476190474,28,14,21.0
tim,committedCap,11,168,10,10.863095238095237,0.060000000000000026,0.8400000000000001,0.39999999999999997,2.1000000000000005,6,5,5.431547619047619,28,14,21.0
tim,cumulative60,11,168,8,8.69047619047619,0.1499999999999999,2.5999999999999996,0.7999999999999998,3.2500000000000004,4,2,2.1726190476190474,28,14,21.0
tim,primerCap,11,168,10,10.863095238095237,0.030000000000000006,0.43000000000000005,0.21,2.047619047619048,5,3,3.258928571428571,28,14,21.0
A,aggression,11,168,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,14,21.0
A,hypoCaution,11,168,0,0.0,0.0,0.0,0.0,,0,0,0.0,28,14,21.0
